type	id	parent	name	durationYears
C	Cd36a9669fd6645f9eca1e625	Fead570952055595cc2938cdd	Profesor/a de Educación Secundaria y Superior en Antropología	4
C	Cd3733baf432c4b40afc6eed3	F510bf2398240f6e3f92bf1b0	Ingeniero Industrial	5
C	Cd37b4521e940ba4460e4bb71	F7b3220ff71fe8f76fd6cc6aa	Veterinario	7
C	Cd37fc0355c34fa8594acac70	Faf53f037278c0aabcf0df573	Analista de Sistemas	3
C	Cd386b33635fb9fcd9603ef68	F4f251cf277e4f0a99ecfabd6	Técnico Universitario en Metalúrgica	3
C	Cd38c724f615f8fee3e3c9644	Fe98c06bce68e0bf23ec452b4	Licenciado/a en Psicología - MD	5
C	Cd38e3336c16b946b30c577f0	Fe65f9bcc41247fe11aba5efe	Licenciado/a en Ciencia Política	5
C	Cd393d9960a78404b5374d3e9	F85c3b563d515ba978270312e	Licenciado/a en Administración de Empresas	4
C	Cd3b1933d461e58c1d80be934	Fd6ab6d5eefde2a261406a34f	Licenciado en Kinesiología y Fisiatría	5
C	Cd3b702fa75f64632f7e6b144	Fea2cd98d6b6fd05b02a43c3a	Licenciado en Recursos Humanos	4
C	Cd3cd7082e7abd8c30123500e	Fe933fcb5cd4109c157f95c5b	Licenciado/a en Economía	5
